subject_id,count,mean,std
B006,4,0.7472639999999999,0.04057271281703182
B037,2,0.376471,0.0
B038,2,0.0,0.0
B040,14,0.43273342857142855,0.17893517577806017
C032,16,0.5810845,0.09390965277613014
D031,16,0.5981135,0.21594477518909008
G021,16,0.561451,0.2310353645166327
H007,2,0.090672,0.0
H017,16,0.616491625,0.19344250924822598
J005,10,0.589809,0.34101618276556905
J026,16,0.660742625,0.23602699952840847
K008,2,0.723536,0.0
K018,16,0.756810625,0.04770150967544596
K019,16,0.79072775,0.04733308833856783
K042,2,0.705029,0.0
L011,16,0.8064465000000001,0.04030888073200085
M004,16,0.600843375,0.1876369769051843
M013,16,0.74805225,0.07089366064136714
M015,16,0.49099562500000005,0.08613968162921974
M020,8,0.7603025,0.07760291612156998
M023,2,0.665054,0.0
M030,12,0.33848300000000003,0.07004541830191971
M036,2,0.495847,0.0
N010,16,0.42212875,0.24141214589425006
O025,16,0.58596375,0.20380737384419306
R016,16,0.5244015,0.11885783923101857
R024,16,0.6830515,0.20844315518753148
R039,16,0.46356512499999997,0.27157951022880333
S022,16,0.698182375,0.06125614500426327
S028,2,0.511248,0.0
S033,16,0.669376375,0.0785929293850068
S035,2,0.0,0.0
T009,2,0.860044,0.0
T014,16,0.454535,0.19136127222054794
V027,16,0.5653925,0.14399108362765614
W012,16,0.660291875,0.0993320322949752
W029,16,0.071879375,0.07748625901399121
W041,2,0.706526,0.0
