image,mode,dice,source
B006_Week0_LFOV,binary,0.782401,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B006_Week0.nii\metrics.csv
B006_Week0_LFOV.nii.gz,binary,0.782401,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B006_Week0.nii\B006_Week0_LFOV_meta.json
B006_Week1_LFOV,binary,0.712127,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B006_Week1.nii\metrics.csv
B006_Week1_LFOV.nii.gz,binary,0.712127,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B006_Week1.nii\B006_Week1_LFOV_meta.json
B037_Week0_LFOV,binary,0.376471,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B037_Week0.nii\metrics.csv
B037_Week0_LFOV.nii.gz,binary,0.376471,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B037_Week0.nii\B037_Week0_LFOV_meta.json
B038_Week0_LFOV,binary,0.000000,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B038_Week0.nii\metrics.csv
B038_Week0_LFOV.nii.gz,binary,0.000000,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B038_Week0.nii\B038_Week0_LFOV_meta.json
B040_Week0_LFOV,binary,0.230869,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B040_Week0.nii\metrics.csv
B040_Week0_LFOV.nii.gz,binary,0.230869,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B040_Week0.nii\B040_Week0_LFOV_meta.json
B040_Week1_LFOV,binary,0.260856,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B040_Week1.nii\metrics.csv
B040_Week1_LFOV.nii.gz,binary,0.260856,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B040_Week1.nii\B040_Week1_LFOV_meta.json
B040_Week2_LFOV,binary,0.689690,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B040_Week2.nii\metrics.csv
B040_Week2_LFOV.nii.gz,binary,0.689690,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B040_Week2.nii\B040_Week2_LFOV_meta.json
B040_Week3_LFOV,binary,0.278649,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B040_Week3.nii\metrics.csv
B040_Week3_LFOV.nii.gz,binary,0.278649,C:\Users\nhwen\Desktop\PatternAnalysis-2025\Project7_3DUNet\pred3d_vis_bin_thr02\B040_Week3.nii\B040_Week3_LFOV_meta.json
